parcel_id,voyage_id,volume,loading_window_start,loading_window_end,slack_early,slack_late,origin,crude
P_D,1,150,23,24,0.0,0.0,Sabah,D
P_E,1,100,23,24,0.0,0.0,Sabah,E
P_E,1,100,23,24,0.0,0.0,Sabah,E
P_E,1,100,23,24,0.0,0.0,Sabah,E
P_Base_2,3,360,17,19,0.0,0.0,PM,Base
P_C,3,200,17,19,0.0,0.0,PM,C
P_F,8,280,19,22,0.0,0.0,Sarawak,F
P_F,8,280,19,22,0.0,0.0,Sarawak,F
P_B,9,150,8,10,0.0,0.0,PM,B
P_Base_1,10,400,1,3,0.0,0.0,PM,Base
P_A,10,150,1,3,0.0,0.0,PM,A
