,Date,Slot,Final Product,Quantity Produced,Crude Tapis Available,Crude Minas Available,Crude Sepat Available,Crude Kimanis Available,Crude KIMC Available,Crude Bintulu Available,Crude Tapis Blended,Crude Minas Blended,Crude Sepat Blended,Crude Kimanis Blended,Crude KIMC Blended,Crude Bintulu Blended,Inventory Available,Ullage,Profit,Flag
0,2025-10-01,1,F5,87.3,514.0,0.0,170.0,350.0,0.0,345.7,0.0,0.0,0.0,0.0,0.0,87.3,1379.7,120.3,807825.5667506282,Optimization
1,2025-10-02,1,F5,95.0,514.0,0.0,170.0,350.0,0.0,250.7,0.0,0.0,0.0,0.0,0.0,95.0,1284.7,215.3,878750.0,Optimization
2,2025-10-03,1,F5,95.0,514.0,0.0,170.0,350.0,0.0,155.7,0.0,0.0,0.0,0.0,0.0,95.0,1189.7,310.3,878750.0,Optimization
3,2025-10-04,1,F7,96.0,514.0,0.0,170.0,273.8,0.0,135.9,0.0,0.0,0.0,76.2,0.0,19.8,1093.7,406.3,801866.8800000148,Optimization
4,2025-10-05,1,F7,96.0,514.0,0.0,170.0,197.6,0.0,116.1,0.0,0.0,0.0,76.2,0.0,19.8,997.7,502.3,801866.8799999999,Optimization
5,2025-10-06,1,F7,83.7,505.3,0.0,166.4,131.1,0.0,98.9,0.0,0.0,0.0,66.4,0.0,17.2,901.7,598.3,698856.2732494469,Optimization
6,2025-10-06,2,F3,12.3,505.3,0.0,166.4,131.1,0.0,98.9,8.7,0.0,3.6,0.0,0.0,0.0,901.7,598.3,178154.58740540844,Optimization
7,2025-10-07,1,F3,95.0,438.3,0.0,138.3,131.1,0.0,98.9,67.0,0.0,28.0,0.0,0.0,0.0,806.7,693.3,1372365.2499999995,Optimization
8,2025-10-08,1,F3,95.0,371.4,0.0,110.3,131.1,0.0,98.9,67.0,0.0,28.0,0.0,0.0,0.0,711.7,788.3,1372365.2499997565,Optimization
9,2025-10-09,1,F3,95.0,304.4,0.0,82.3,131.1,0.0,98.9,67.0,0.0,28.0,0.0,0.0,0.0,616.7,553.3,1372365.25,Optimization
10,2025-10-10,1,F3,95.0,237.4,0.0,54.3,131.1,0.0,98.9,67.0,0.0,28.0,0.0,0.0,0.0,521.7,648.3,1372365.25,Optimization
11,2025-10-11,1,F3,95.0,170.4,0.0,26.2,131.1,0.0,98.9,67.0,0.0,28.0,0.0,0.0,0.0,426.7,743.3,1372365.25,Optimization
12,2025-10-12,1,F3,88.9,107.7,0.0,0.0,131.1,0.0,98.9,62.7,0.0,26.2,0.0,0.0,0.0,337.7,832.3,1284803.9083574843,Optimization
13,2025-10-13,1,F7,96.0,107.7,0.0,0.0,304.9,80.0,79.1,0.0,0.0,0.0,76.2,0.0,19.8,571.7,428.3,801866.8799999999,Optimization
14,2025-10-14,1,F7,96.0,107.7,0.0,0.0,228.7,80.0,59.3,0.0,0.0,0.0,76.2,0.0,19.8,475.7,524.3,801866.8799999999,Optimization
15,2025-10-15,1,F7,96.0,107.7,0.0,0.0,152.4,80.0,39.6,0.0,0.0,0.0,76.2,0.0,19.8,379.7,620.3,801866.8799999999,Optimization
16,2025-10-16,1,F7,96.0,107.7,0.0,0.0,76.2,80.0,19.8,0.0,0.0,0.0,76.2,0.0,19.8,283.7,716.3,801866.8799999999,Optimization
