,Date,Slot,Final Product,Quantity Produced,Crude Tapis Available,Crude Minas Available,Crude Sepat Available,Crude Kimanis Available,Crude KIMC Available,Crude Bintulu Available,Crude Tapis Blended,Crude Minas Blended,Crude Sepat Blended,Crude Kimanis Blended,Crude KIMC Blended,Crude Bintulu Blended,Inventory Available,Ullage,Profit,Flag
17,2025-10-17,1,F7,96.0,417.7,190.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,76.2,0.0,19.8,687.7,812.3,801866.8799999999,Optimization
18,2025-10-18,1,F2,90.0,353.7,164.0,0.0,0.0,80.0,0.0,64.0,26.0,0.0,0.0,0.0,0.0,597.7,902.3,1124247.5999999999,Optimization
19,2025-10-19,1,F2,10.0,346.6,161.1,0.0,0.0,80.0,0.0,7.1,2.9,0.0,0.0,0.0,0.0,587.7,562.3,124916.4,Optimization
20,2025-10-20,1,F2,90.0,282.6,135.1,0.0,0.0,80.0,0.0,64.0,26.0,0.0,0.0,0.0,0.0,497.7,652.3,1124247.5999999999,Optimization
21,2025-10-21,1,F2,90.0,218.6,109.1,0.0,0.0,80.0,0.0,64.0,26.0,0.0,0.0,0.0,0.0,407.7,742.3,1124247.5999999999,Optimization
22,2025-10-22,1,F2,90.0,154.7,83.1,0.0,0.0,80.0,0.0,64.0,26.0,0.0,0.0,0.0,0.0,317.7,532.3,1124247.5999999994,Optimization
23,2025-10-23,1,F2,72.6,103.0,62.1,0.0,50.0,80.0,281.7,51.7,21.0,0.0,0.0,0.0,0.0,576.8,623.2,907516.5928549177,Optimization
24,2025-10-23,2,F5,18.3,103.0,62.1,0.0,50.0,80.0,281.7,0.0,0.0,0.0,0.0,0.0,18.3,576.8,623.2,169404.29539610626,Optimization
25,2025-10-24,1,F5,60.7,103.0,62.1,0.0,50.0,80.0,221.0,0.0,0.0,0.0,0.0,0.0,60.7,516.1,683.9,561345.7046089736,Optimization
26,2025-10-25,1,F5,95.0,103.0,62.1,0.0,50.0,80.0,126.0,0.0,0.0,0.0,0.0,0.0,95.0,421.1,778.9,878750.0000006699,Optimization
27,2025-10-26,1,F5,95.0,103.0,62.1,0.0,50.0,80.0,331.0,0.0,0.0,0.0,0.0,0.0,95.0,626.1,873.9,878750.0,Optimization
28,2025-10-27,1,F5,95.0,103.0,62.1,0.0,50.0,80.0,236.0,0.0,0.0,0.0,0.0,0.0,95.0,531.1,788.9,878750.0,Optimization
29,2025-10-28,1,F5,95.0,103.0,62.1,0.0,50.0,80.0,141.0,0.0,0.0,0.0,0.0,0.0,95.0,436.1,883.9,878750.0,Optimization
30,2025-10-29,1,F5,95.0,103.0,62.1,0.0,50.0,80.0,46.0,0.0,0.0,0.0,0.0,0.0,95.0,341.1,978.9,878750.0,Optimization
31,2025-10-30,1,F5,33.0,103.0,62.1,0.0,-0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,245.1,774.9,305506.2972292704,Optimization
32,2025-10-30,2,F7,63.0,103.0,62.1,0.0,-0.0,80.0,0.0,0.0,0.0,0.0,50.0,0.0,13.0,245.1,774.9,525993.7027707492,Optimization
33,2025-10-31,1,F3,95.0,36.0,62.1,152.0,0.0,80.0,0.0,67.0,0.0,28.0,0.0,0.0,0.0,330.1,869.9,1372365.25,Optimization
34,2025-11-01,1,F3,51.1,-0.0,62.1,116.0,0.0,64.0,0.0,36.0,0.0,15.1,0.0,0.0,0.0,242.0,958.0,738274.5875576041,Optimization
35,2025-11-01,2,F6,37.0,-0.0,62.1,116.0,0.0,64.0,0.0,0.0,0.0,20.9,0.0,16.0,0.0,242.0,958.0,523674.19645888906,Optimization
36,2025-11-02,1,F6,80.0,0.0,62.1,70.7,0.0,29.2,-0.0,0.0,0.0,45.3,0.0,34.7,0.0,162.0,1038.0,1133390.3999999997,Optimization
37,2025-11-03,1,F6,67.4,0.0,62.1,32.6,0.0,0.0,285.0,0.0,0.0,38.1,0.0,29.2,0.0,379.6,820.4,954434.0210526315,Optimization
38,2025-11-03,2,F5,15.0,0.0,62.1,32.6,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,15.0,379.6,820.4,138749.99999999994,Optimization
39,2025-11-04,1,F5,95.0,0.0,62.1,32.6,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,95.0,284.6,915.4,878750.0,Optimization
40,2025-11-05,1,F5,95.0,0.0,62.1,32.6,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,95.0,189.6,1010.4,878749.9999999999,Optimization
41,2025-11-06,1,F5,95.0,0.0,62.1,32.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,94.6,1105.4,878750.0,Optimization
42,2025-11-07,1,F4,95.0,0.0,62.1,32.6,205.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,299.6,1200.4,771399.9999999999,Optimization
43,2025-11-08,1,F4,95.0,0.0,62.1,32.6,110.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,204.6,1295.4,771399.9999999999,Optimization
44,2025-11-09,1,F4,95.0,0.0,62.1,32.6,15.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,109.6,1390.4,771399.9999999999,Optimization
